;date;header;summary;link;protocol;domain;path;query;fragment;host_name;ip_address;Type;AdditionalData;CountryCode;CountryName;State;City;Longitude;Latitude;IpAddress;header_context_true;summary_context_true
0;2020-06-05;Offshore software development: How to make it work in 2020;Jun 5, 2020 — Forced to adopt remote operations and work-from-home mode, many ... When talking about onshore and offshore software development, ... However, any promising cooperation may turn into a disaster if the ... with 1000+ expert software engineers onboard that power innovative technology businesses.;https://www.n-ix.com/offshore-software-development/;https;www.n-ix.com;/offshore-software-development/;;;n-ix;54.76.70.47;geolocation;{};IE;Ireland;Leinster;Dublin;-6.243330001831055;53.35388946533203;54.76.70.47;Offshore software development: How to make it work in 2020;Jun 5, 2020 — Forced to adopt remote operations and work-from-home mode, many ... When talking about onshore and offshore software development, ... However, any promising cooperation may turn into a disaster if the ... with 1000+ expert software engineers onboard that power innovative technology businesses.
1;2020-06-05;agora, inc. - Investor Relations - Agora.io;Jun 5, 2020 — software development, where developers can assemble ready-made software ... A significant natural disaster, such as an earthquake, fire, flood or pandemic, ... remained productive despite requirements to work from home.;https://investor.agora.io/static-files/937ad6fd-88fb-4004-bc86-229d125a4b1e;https;investor.agora.io;/static-files/937ad6fd-88fb-4004-bc86-229d125a4b1e;;;agora;104.114.79.105;geolocation;{};US;United States;Illinois;Chicago;-87.67124938964844;41.84885025024414;104.114.79.105;agora, inc. - Investor Relations - Agora.io;Jun 5, 2020 — software development, where developers can assemble ready-made software ... A significant natural disaster, such as an earthquake, fire, flood or pandemic, ... remained productive despite requirements to work from home.
2;2020-06-05;COVID-19:Updates on regulatory and supervisory ... - Deloitte;Jun 5, 2020 — Increase focus on operational resilience and liquidity risks, and ... under MiFID II to reflect realities of remote working, including call taping and.;https://www2.deloitte.com/content/dam/Deloitte/jp/Documents/financial-services/bk/EN_issue6_ACRS%20COVID-19%20Updates%20on%20regulatory%20and%20supervisory%20responses%20in%20Asia%20Pacific%20Issue%20.pdf;https;www2.deloitte.com;/content/dam/Deloitte/jp/Documents/financial-services/bk/EN_issue6_ACRS%20COVID-19%20Updates%20on%20regulatory%20and%20supervisory%20responses%20in%20Asia%20Pacific%20Issue%20.pdf;;;deloitte;23.7.109.211;geolocation;{};US;United States;Illinois;Chicago;-87.67124938964844;41.84885025024414;23.7.109.211;COVID-19:Updates on regulatory and supervisory ... - Deloitte;Jun 5, 2020 — Increase focus on operational resilience and liquidity risks, and ... under MiFID II to reflect realities of remote working, including call taping and.
3;2020-06-05;Brand Stories - What Makes A Good Brand Story? | A ...;Jun 5, 2020 — Securing Your Work From Home ... Surveillance Capitalism · Responding To Disaster: Brand Messaging And Communications Tips In A Crisis ...;https://www.snowdropsolution.com/corporate-branding/brand-stories-what-makes-a-good-brand-story-a-documentary/;https;www.snowdropsolution.com;/corporate-branding/brand-stories-what-makes-a-good-brand-story-a-documentary/;;;snowdropsolution;54.188.27.249;geolocation;{};US;United States;Oregon;Boardman;-119.6989974975586;45.83599853515625;54.188.27.249;Brand Stories - What Makes A Good Brand Story? | A ...;Jun 5, 2020 — Securing Your Work From Home ... Surveillance Capitalism · Responding To Disaster: Brand Messaging And Communications Tips In A Crisis ...
4;2020-06-05;Virtuozzo Releases VDI Solution for Service Providers ...;Jun 5, 2020 — Covid-19 Resources. Pandemic Channel News. SBA Disaster Loans. CDC Covid-19 Updates · Industry Event Updates ...;https://channelnomics.com/2020/06/05/virtuozzo-releases-vdi-solution-for-service-providers/;https;channelnomics.com;/2020/06/05/virtuozzo-releases-vdi-solution-for-service-providers/;;;channelnomics;172.67.131.203;geolocation;{};US;United States;California;San Francisco;-122.39286041259766;37.76784896850586;172.67.131.203;Virtuozzo Releases VDI Solution for Service Providers ...;Jun 5, 2020 — Covid-19 Resources. Pandemic Channel News. SBA Disaster Loans. CDC Covid-19 Updates · Industry Event Updates ...
5;2020-06-05;#HASHTECH Unplugged! Remodelling the Digital Game Plan ...;Jun 5, 2020 — ... means having characteristics to deal with agility, adaptability, resilience and ... with 80-100 per cent of staff being forced to work from home.”.;https://cioacademyasia.org/remodelling-the-digital-game-plan-optimising-your-it-financial-management-strategy/;https;cioacademyasia.org;/remodelling-the-digital-game-plan-optimising-your-it-financial-management-strategy/;;;cioacademyasia;175.41.162.129;geolocation;{};SG;Singapore;;Singapore;103.8198013305664;1.3200000524520874;175.41.162.129;#HASHTECH Unplugged! Remodelling the Digital Game Plan ...;Jun 5, 2020 — ... means having characteristics to deal with agility, adaptability, resilience and ... with 80-100 per cent of staff being forced to work from home.”.
6;2020-06-05;AWS and Slack enter strategic partnership - IT Brief Australia;Jun 5, 2020 — ... Amazon Chime SDK (software development kit) will soon power audio, video, and ... The importance of data resilience in the current cybersecurity climate ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.;https://itbrief.com.au/story/aws-and-slack-enter-strategic-partnership;https;itbrief.com.au;/story/aws-and-slack-enter-strategic-partnership;;;com;113.21.226.180;geolocation;{};NZ;New Zealand;Auckland;Auckland;174.6802978515625;-36.78810119628906;113.21.226.180;AWS and Slack enter strategic partnership - IT Brief Australia;Jun 5, 2020 — ... Amazon Chime SDK (software development kit) will soon power audio, video, and ... The importance of data resilience in the current cybersecurity climate ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.
7;2020-06-05;AWS and Slack enter strategic partnership - IT Brief Australia;Jun 5, 2020 — ... Amazon Chime SDK (software development kit) will soon power audio, video, and ... The importance of data resilience in the current cybersecurity climate ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.;https://itbrief.com.au/story/aws-and-slack-enter-strategic-partnership;https;itbrief.com.au;/story/aws-and-slack-enter-strategic-partnership;;;com;113.21.226.180;geolocation;{};NZ;New Zealand;Auckland;Auckland;174.6802978515625;-36.78810119628906;113.21.226.180;AWS and Slack enter strategic partnership - IT Brief Australia;Jun 5, 2020 — ... Amazon Chime SDK (software development kit) will soon power audio, video, and ... The importance of data resilience in the current cybersecurity climate ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.
8;2020-06-05;Microsoft partners with Workday to prioritise enterprise ...;Jun 5, 2020 — PagerDuty was born from the idea that software development and operations ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.More ... Accurics, a cloud cyber resilience company specialising in cloud native ...;https://itbrief.com.au/story/microsoft-partners-with-workday-to-prioritise-enterprise-planning-in-the-cloud;https;itbrief.com.au;/story/microsoft-partners-with-workday-to-prioritise-enterprise-planning-in-the-cloud;;;com;113.21.226.180;geolocation;{};NZ;New Zealand;Auckland;Auckland;174.6802978515625;-36.78810119628906;113.21.226.180;Microsoft partners with Workday to prioritise enterprise ...;Jun 5, 2020 — PagerDuty was born from the idea that software development and operations ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.More ... Accurics, a cloud cyber resilience company specialising in cloud native ...
9;2020-06-05;Microsoft partners with Workday to prioritise enterprise ...;Jun 5, 2020 — PagerDuty was born from the idea that software development and operations ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.More ... Accurics, a cloud cyber resilience company specialising in cloud native ...;https://itbrief.com.au/story/microsoft-partners-with-workday-to-prioritise-enterprise-planning-in-the-cloud;https;itbrief.com.au;/story/microsoft-partners-with-workday-to-prioritise-enterprise-planning-in-the-cloud;;;com;113.21.226.180;geolocation;{};NZ;New Zealand;Auckland;Auckland;174.6802978515625;-36.78810119628906;113.21.226.180;Microsoft partners with Workday to prioritise enterprise ...;Jun 5, 2020 — PagerDuty was born from the idea that software development and operations ... Juniper Networks expands security offering for remote working. Juniper Networks has launched new solutions to enhance work from home security.More ... Accurics, a cloud cyber resilience company specialising in cloud native ...
10;2020-06-05;Life after lockdown lifting: New normal, old normal? - The Star;Jun 5, 2020 — History of resilience gives hope that mankind will bounce back, but to what reality? ... The shift to remote working, or what is described as, “working from home,” ... Outsourcing opportunities exist in software development, ...;https://www.the-star.co.ke/sasa/lifestyle/2020-06-05-life-after-lockdown-lifting-new-normal-old-normal/;https;www.the-star.co.ke;/sasa/lifestyle/2020-06-05-life-after-lockdown-lifting-new-normal-old-normal/;;;co;104.24.107.193;geolocation;{};US;United States;California;San Jose;-121.83822631835938;37.330528259277344;104.24.107.193;Life after lockdown lifting: New normal, old normal? - The Star;Jun 5, 2020 — History of resilience gives hope that mankind will bounce back, but to what reality? ... The shift to remote working, or what is described as, “working from home,” ... Outsourcing opportunities exist in software development, ...
11;2020-06-05;Cloud Technology As An Ally To Enterprises During The ...;Jun 5, 2020 — Before the novel crisis, work from home was never considered as that ... said in an exclusive interview with Protocol, “As the disaster unfolds, ...;https://www.zymr.com/cloud-technology-as-an-ally-to-enterprises-during-the-covid-19-pandemic/;https;www.zymr.com;/cloud-technology-as-an-ally-to-enterprises-during-the-covid-19-pandemic/;;;zymr;52.200.244.151;geolocation;{};US;United States;Virginia;Ashburn;-77.47419738769531;39.043701171875;52.200.244.151;Cloud Technology As An Ally To Enterprises During The ...;Jun 5, 2020 — Before the novel crisis, work from home was never considered as that ... said in an exclusive interview with Protocol, “As the disaster unfolds, ...
