;level_0;index;Unnamed: 0;type_study;date;year;month;header;link;on_20200511;summary;protocol;domain;path;query;fragment;host_name;ip_address;Type;AdditionalData;CountryCode;CountryName;State;City;Longitude;Latitude;IpAddress;header_context_true;summary_context_true;Asn;edges;quarter;day;day_of_week;shock_wave;page_rank;text_context_true;text_context_true_wo_punct;text_context_true_wo_punct_clean_token;text_context_true_wo_punct_clean_stem;text_context_true_wo_punct_clean_lemma;word_count;char_count;avg_word;stopwords;hastags;key;Happy;Angry;Surprise;Sad;Fear;dominant_emotion;weekday;questao1-persona;questao2-persona;questao1-disaster_resilience;text_context_true_wo_punct_clean;status1-selecao;status2-duplicated;status3-title-abst_keys;status4-read;rq1;rq2;rq2.1_fase_citada;rq3;format;font_type;tier;all_tags;conotação;tipo_porte;setor;STRINGS;covid;coronavirus;covid impact;software engineers;software development;disaster informatics;productivity;work from home;remote working;disaster;resilience;link2;rq2.1_fase_citada_clean;rq3_clean;tipo_porte_clean;normalised_date;productivity_y;keyword_match
0;0;0;1871;grey;2019-11-26;2019;11;annual report - CARE's Ratings;https://www.careratings.com/pdf/annual-report/Annual%20Report%202020_web.pdf;1;Nov 27, 2019 — Ratings' Survey on Covid Impact – 17-3-2020. 11. 12. 1. 2. 3. 4. 5 ... IT has successfully enabled all employees to work from home. The focus for ...;https;www.careratings.com;/pdf/annual-report/Annual%20Report%202020_web.pdf;;;careratings.com;202.46.201.53;geolocation;{};IN;India;Maharashtra;Powai;72.87770080566406;19.076000213623047;202.46.201.53;annual report - CARE's Ratings;Nov 27, 2019 — Ratings' Survey on Covid Impact – 17-3-2020. 11. 12. 1. 2. 3. 4. 5 ... IT has successfully enabled all employees to work from home. The focus for ...;;;4;26;1;Pre-COVID;1;annual report - CARE's Ratings Nov 27, 2019 — Ratings' Survey on Covid Impact – 17-3-2020. 11. 12. 1. 2. 3. 4. 5 ... IT has successfully enabled all employees to work from home. The focus for ... https www careratings com pdf annual report annual 20report 202020 web pdf;annual report  CAREs Ratings Nov 27 2019 — Ratings Survey on Covid Impact – 1732020 11 12 1 2 3 4 5  IT has successfully enabled all employees to work from home The focus for  https www careratings com pdf annual report annual 20report 202020 web pdf;['annual', 'report', 'cares', 'ratings', 'ratings', 'survey', 'covid', 'impact', 'successfully', 'enabled', 'employees', 'work', 'home', 'focus', 'careratings', 'annual', 'report', 'annual', 'web'];annual report care rate rate survey covid impact success enabl employe work home focus carer annual report annual 20report web;annual report care rating rating survey covid impact successfully enable employee work home focus careratings annual report annual 20report web;19;182;1.0;6;0;"2019-11-26 00:00:00 ; annual report - CARE's Ratings Nov 27, 2019 — Ratings' Survey on Covid Impact – 17-3-2020. 11. 12. 1. 2. 3. 4. 5 ... IT has successfully enabled all employees to work from home. The focus for ... ; https://www.careratings.com/pdf/annual-report/Annual%20Report%202020_web.pdf";0.11;0.11;0.0;0.44;0.33;Sad;Tuesday;;;;annual report cares ratings        ratings survey covid impact                    successfully enabled employees work home  focus   careratings   annual report annual 20report   web ;1;0;1;1;1;0;;transformação digital;pdf;annual report;tier-2;transformação digital;otimista;empresa;privado;3;1;0;1;0;0;0;0;1;0;0;0;https www careratings com pdf annual report annual 20report 202020 web pdf;;transformação digital;empresa;2019-11-26;False;True
1;1;2;2914;grey;2019-12-14;2019;12;4 Ways Technology Is Helping to Fight the Coronavirus - zsah;https://www.zsah.net/technology-fight-coronavirus/;1;"Connect organisations in need of development help; Voluntary web and software development services offering; Tools for COVID-19 data queries; COVID-19 ...";https;www.zsah.net;/technology-fight-coronavirus/;;;zsah.net;91217245111;geolocation;{};GB;United Kingdom;England;City of Westminster;-0.1167000010609626;51.5;91217245111;4 Ways Technology Is Helping to Fight the Coronavirus - zsah;"Connect organisations in need of development help; Voluntary web and software development services offering; Tools for COVID-19 data queries; COVID-19 ...";;;4;14;5;Pre-COVID;1;"4 Ways Technology Is Helping to Fight the Coronavirus - zsah Connect organisations in need of development help; Voluntary web and software development services offering; Tools for COVID-19 data queries; COVID-19 ... https www zsah net technology fight coronavirus";4 Ways Technology Is Helping to Fight the Coronavirus  zsah Connect organisations in need of development help Voluntary web and software development services offering Tools for COVID19 data queries COVID19  https www zsah net technology fight coronavirus;['ways', 'technology', 'helping', 'fight', 'coronavirus', 'zsah', 'connect', 'organisations', 'need', 'development', 'help', 'voluntary', 'web', 'software', 'development', 'services', 'offering', 'tools', 'data', 'queries', 'zsah', 'net', 'technology', 'fight', 'coronavirus'];way technolog help fight coronavirus zsah connect organis need develop help voluntari web softwar develop servic offer tool covid19 data queri covid19 zsah net technolog fight coronavirus;way technology help fight coronavirus zsah connect organisation need development help voluntary web software development service offering tool covid19 data query covid19 zsah net technology fight coronavirus;25;221;1.0;6;0;"2019-12-14 00:00:00 ; 4 Ways Technology Is Helping to Fight the Coronavirus - zsah Connect organisations in need of development help; Voluntary web and software development services offering; Tools for COVID-19 data queries; COVID-19 ... ; https://www.zsah.net/technology-fight-coronavirus/";0.0;0.0;0.25;0.25;0.5;Fear;Saturday;0.0;;;  ways technology  helping fight coronavirus zsah connect organisations need development help voluntary web software development services offering tools covid19 data queries covid19   zsah net technology fight coronavirus;1;0;1;1;1;0;;inteligência artificial cibersegurança rastreamento analytics;web;websites;tier-2;"inteligência artificial;cibersegurança;rastreamento;analytics";otimista;empresa;privado;3;1;1;0;0;1;0;0;0;0;0;0;https www zsah net technology fight coronavirus;;inteligência artificial cibersegurança rastreamento analytics;empresa;2019-12-14;False;True
2;2;3;2945;grey;2019-12-14;2019;12;Sustainability Report - Infosys;https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2019-20.pdf;1;operational resilience of the Company. One of the first response actions at Infosys was the creation of a dedicated COVID-19 core response team, chaired by our ...;https;www.infosys.com;/sustainability/documents/infosys-sustainability-report-2019-20.pdf;;;infosys.com;23.66.181.5;geolocation;{};US;United States;Illinois;Chicago;-87.67124938964844;41.84885025024414;23.66.181.5;Sustainability Report - Infosys;operational resilience of the Company. One of the first response actions at Infosys was the creation of a dedicated COVID-19 core response team, chaired by our ...;;;4;14;5;Pre-COVID;2;Sustainability Report - Infosys operational resilience of the Company. One of the first response actions at Infosys was the creation of a dedicated COVID-19 core response team, chaired by our ... https www infosys com sustainability documents infosys sustainability report pdf;Sustainability Report  Infosys operational resilience of the Company One of the first response actions at Infosys was the creation of a dedicated COVID19 core response team chaired by our  https www infosys com sustainability documents infosys sustainability report pdf;['sustainability', 'report', 'infosys', 'operational', 'resilience', 'company', 'one', 'first', 'response', 'actions', 'infosys', 'creation', 'dedicated', 'core', 'response', 'team', 'chaired', 'infosys', 'sustainability', 'documents', 'infosys', 'sustainability', 'report'];sustain report infosi oper resili compani one first respons action infosi creation dedic covid19 core respons team chair infosi sustain document infosi sustain report;sustainability report infosys operational resilience company one first response action infosys creation dedicate covid19 core response team chair infosys sustainability document infosys sustainability report;23;216;1.0;11;0;"2019-12-14 00:00:00 ; Sustainability Report - Infosys operational resilience of the Company. One of the first response actions at Infosys was the creation of a dedicated COVID-19 core response team, chaired by our ... ; https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2019-20.pdf";0.0;0.0;0.25;0.5;0.25;Sad;Saturday;0.0;;;sustainability report infosys operational resilience company one first response actions infosys creation dedicated covid19 core response team chaired   infosys  sustainability documents infosys sustainability report ;1;0;1;1;1;0;;relatório anual financeiro trabalho remoto produtividade automação;pdf;annual report;tier-2;"relatório anual;financeiro;trabalho remoto;produtividade;automação";otimista;empresa;privado;2;1;0;0;0;0;0;0;0;0;0;1;https www infosys com sustainability documents infosys sustainability report pdf;;relatório anual financeiro trabalho remoto produtividade automação;empresa;2019-12-14;False;True
3;3;5;4287;grey;2020-01-14;2020;1;Facing COVID-19: ThoughtWorks China's Story | ThoughtWorks;https://www.thoughtworks.com/china-covid-19-video;1;Embrace a modern approach to software development and deliver value faster ... to remote delivery models, and 300 ThoughtWorkers began to work from home. ... the plan to move all ThoughtWorks China teams to a remote working model. ... helping our clients to recover, and to build organizational resilience so that they ...;https;www.thoughtworks.com;/china-covid-19-video;;;thoughtworks.com;99.84.168.63;geolocation;{};US;United States;Illinois;Chicago;-87.67124938964844;41.84885025024414;99.84.168.63;Facing COVID-19: ThoughtWorks China's Story | ThoughtWorks;Embrace a modern approach to software development and deliver value faster ... to remote delivery models, and 300 ThoughtWorkers began to work from home. ... the plan to move all ThoughtWorks China teams to a remote working model. ... helping our clients to recover, and to build organizational resilience so that they ...;;;1;14;1;COVID-shock;1;Facing COVID-19: ThoughtWorks China's Story | ThoughtWorks Embrace a modern approach to software development and deliver value faster ... to remote delivery models, and 300 ThoughtWorkers began to work from home. ... the plan to move all ThoughtWorks China teams to a remote working model. ... helping our clients to recover, and to build organizational resilience so that they ... https www thoughtworks com china covid video;Facing COVID19 ThoughtWorks Chinas Story  ThoughtWorks Embrace a modern approach to software development and deliver value faster  to remote delivery models and 300 ThoughtWorkers began to work from home  the plan to move all ThoughtWorks China teams to a remote working model  helping our clients to recover and to build organizational resilience so that they  https www thoughtworks com china covid video;['facing', 'thoughtworks', 'chinas', 'story', 'thoughtworks', 'embrace', 'modern', 'approach', 'software', 'development', 'deliver', 'value', 'faster', 'remote', 'delivery', 'models', 'thoughtworkers', 'began', 'work', 'home', 'plan', 'move', 'thoughtworks', 'china', 'teams', 'remote', 'working', 'model', 'helping', 'clients', 'recover', 'build', 'organizational', 'resilience', 'thoughtworks', 'china', 'covid', 'video'];face covid19 thoughtwork china stori thoughtwork embrac modern approach softwar develop deliv valu faster remot deliveri model thoughtwork began work home plan move thoughtwork china team remot work model help client recov build organiz resili thoughtwork china covid video;face covid19 thoughtworks chinas story thoughtworks embrace modern approach software development deliver value faster remote delivery model thoughtworkers begin work home plan move thoughtworks china team remote work model help client recover build organizational resilience thoughtworks china covid video;38;321;1.0;19;0;"2020-01-14 00:00:00 ; Facing COVID-19: ThoughtWorks China's Story | ThoughtWorks Embrace a modern approach to software development and deliver value faster ... to remote delivery models, and 300 ThoughtWorkers began to work from home. ... the plan to move all ThoughtWorks China teams to a remote working model. ... helping our clients to recover, and to build organizational resilience so that they ... ; https://www.thoughtworks.com/china-covid-19-video";0.0;0.1;0.2;0.2;0.5;Fear;Tuesday;0.0;;0.0;facing covid19 thoughtworks chinas story thoughtworks embrace modern approach software development deliver value faster remote delivery models   thoughtworkers began work home plan move thoughtworks china teams remote working model helping clients recover build organizational resilience   thoughtworks  china covid video;1;0;1;1;1;0;;trabalho remoto;web;video;tier-3;trabalho remoto;otimista;empresa;privado;5;1;0;0;0;1;0;0;1;1;0;1;https www thoughtworks com china covid video;;trabalho remoto;empresa;2020-01-14;False;True
4;4;6;5290;grey;2020-02-03;2020;2;2020 Responses to Coronavirus (COVID-19) - Amalgamated ...;https://www.atu.org/coronavirusresources/Landscape-2020-Responses-to-Coronavirus-4.2.20.pdf;1;Feb 4, 2020 — The Governor ​issued ​a public health disaster emergency on 3/11/20. ... the defense industrial base, including aerospace, mechanical and software engineers, ... include cancelling public gatherings, school closure, remote working, home isolation ... continue to operate if their employees work from home.;https;www.atu.org;/coronavirusresources/Landscape-2020-Responses-to-Coronavirus-4.2.20.pdf;;;atu.org;52.2.22.143;geolocation;{};US;United States;Virginia;Ashburn;-77.47419738769531;39.043701171875;52.2.22.143;2020 Responses to Coronavirus (COVID-19) - Amalgamated ...;Feb 4, 2020 — The Governor ​issued ​a public health disaster emergency on 3/11/20. ... the defense industrial base, including aerospace, mechanical and software engineers, ... include cancelling public gatherings, school closure, remote working, home isolation ... continue to operate if their employees work from home.;;;1;3;0;COVID-shock;1;2020 Responses to Coronavirus (COVID-19) - Amalgamated ... Feb 4, 2020 — The Governor ​issued ​a public health disaster emergency on 3/11/20. ... the defense industrial base, including aerospace, mechanical and software engineers, ... include cancelling public gatherings, school closure, remote working, home isolation ... continue to operate if their employees work from home. https www atu org coronavirusresources landscape responses coronavirus pdf;2020 Responses to Coronavirus COVID19  Amalgamated  Feb 4 2020 — The Governor ​issued ​a public health disaster emergency on 31120  the defense industrial base including aerospace mechanical and software engineers  include cancelling public gatherings school closure remote working home isolation  continue to operate if their employees work from home https www atu org coronavirusresources landscape responses coronavirus pdf;['responses', 'coronavirus', 'amalgamated', 'governor', 'issued', 'public', 'health', 'disaster', 'emergency', 'defense', 'industrial', 'base', 'including', 'aerospace', 'mechanical', 'software', 'engineers', 'include', 'cancelling', 'public', 'gatherings', 'school', 'closure', 'remote', 'working', 'home', 'isolation', 'continue', 'operate', 'employees', 'work', 'home', 'atu', 'coronavirusresources', 'landscape', 'responses', 'coronavirus'];respons coronavirus covid19 amalgam governor issu public health disast emerg defens industri base includ aerospac mechan softwar engin includ cancel public gather school closur remot work home isol continu oper employe work home atu coronavirusresourc landscap respons coronavirus;response coronavirus covid19 amalgamate governor issue public health disaster emergency defense industrial base include aerospace mechanical software engineer include cancel public gathering school closure remote work home isolation continue operate employee work home atu coronavirusresources landscape response coronavirus;37;359;1.0;8;0;"2020-02-03 00:00:00 ; 2020 Responses to Coronavirus (COVID-19) - Amalgamated ... Feb 4, 2020 — The Governor ​issued ​a public health disaster emergency on 3/11/20. ... the defense industrial base, including aerospace, mechanical and software engineers, ... include cancelling public gatherings, school closure, remote working, home isolation ... continue to operate if their employees work from home. ; https://www.atu.org/coronavirusresources/Landscape-2020-Responses-to-Coronavirus-4.2.20.pdf";0.0;0.0;0.08;0.58;0.33;Sad;Monday;;;;  responses coronavirus covid19 amalgamated         governor  issued   public health disaster emergency   defense industrial base including aerospace mechanical software engineers include cancelling public gatherings school closure remote working home isolation continue operate employees work home   atu  coronavirusresources landscape responses coronavirus ;1;0;1;1;1;0;;essencialidade;pdf;government report;tier-1;essencialidade;otimista;governo;publico;6;1;1;0;1;0;0;0;1;1;1;0;https www atu org coronavirusresources landscape responses coronavirus pdf;;essencialidade;governo;2020-02-03;False;True
5;5;7;5609;grey;2020-02-09;2020;2;How CIOs in SE Asia are combating coronavirus through ...;https://www.cio.com/article/3526341/how-cios-in-se-asia-are-combating-coronavirus-through-business-continuity.html;1;Feb 10, 2020 — ... mandating remote working and reviewing corporate travel policies. ... Establish an appropriate work-from-home policy so staff feel empowered to do the right thing ... various disaster recovery scenarios to determine the number of users ... adopt a “cloud-first” strategy to help boost internal resilience levels.;https;www.cio.com;/article/3526341/how-cios-in-se-asia-are-combating-coronavirus-through-business-continuity.html;;;cio.com;151.101.2.165;geolocation;{};US;United States;California;San Francisco;-122.39286041259766;37.76784896850586;151.101.2.165;How CIOs in SE Asia are combating coronavirus through ...;Feb 10, 2020 — ... mandating remote working and reviewing corporate travel policies. ... Establish an appropriate work-from-home policy so staff feel empowered to do the right thing ... various disaster recovery scenarios to determine the number of users ... adopt a “cloud-first” strategy to help boost internal resilience levels.;;;1;9;6;COVID-shock;1;How CIOs in SE Asia are combating coronavirus through ... Feb 10, 2020 — ... mandating remote working and reviewing corporate travel policies. ... Establish an appropriate work-from-home policy so staff feel empowered to do the right thing ... various disaster recovery scenarios to determine the number of users ... adopt a “cloud-first” strategy to help boost internal resilience levels. https www cio com article cios se asia combating coronavirus business continuity html;How CIOs in SE Asia are combating coronavirus through  Feb 10 2020 —  mandating remote working and reviewing corporate travel policies  Establish an appropriate workfromhome policy so staff feel empowered to do the right thing  various disaster recovery scenarios to determine the number of users  adopt a “cloudfirst” strategy to help boost internal resilience levels https www cio com article cios se asia combating coronavirus business continuity html;['cios', 'asia', 'combating', 'coronavirus', 'mandating', 'remote', 'working', 'reviewing', 'corporate', 'travel', 'policies', 'establish', 'appropriate', 'workfromhome', 'policy', 'staff', 'feel', 'empowered', 'right', 'thing', 'various', 'disaster', 'recovery', 'scenarios', 'determine', 'number', 'users', 'adopt', 'cloudfirst', 'strategy', 'help', 'boost', 'internal', 'resilience', 'levels', 'cio', 'article', 'cios', 'asia', 'combating', 'coronavirus', 'business', 'continuity'];cio se asia combat coronavirus mandat remot work review corpor travel polici establish appropri workfromhom polici staff feel empow right thing various disast recoveri scenario determin number user adopt cloudfirst strategi help boost intern resili level cio articl cio se asia combat coronavirus busi continu;cio se asia combat coronavirus mandate remote work review corporate travel policy establish appropriate workfromhome policy staff feel empowered right thing various disaster recovery scenario determine number user adopt cloudfirst strategy help boost internal resilience level cio article cio se asia combat coronavirus business continuity;43;374;1.0;14;0;"2020-02-09 00:00:00 ; How CIOs in SE Asia are combating coronavirus through ... Feb 10, 2020 — ... mandating remote working and reviewing corporate travel policies. ... Establish an appropriate work-from-home policy so staff feel empowered to do the right thing ... various disaster recovery scenarios to determine the number of users ... adopt a “cloud-first” strategy to help boost internal resilience levels. ; https://www.cio.com/article/3526341/how-cios-in-se-asia-are-combating-coronavirus-through-business-continuity.html";0.08;0.0;0.17;0.08;0.67;Fear;Sunday;0.0;;0.0; cios se asia combating coronavirus        mandating remote working reviewing corporate travel policies establish appropriate workfromhome policy staff feel empowered right thing various disaster recovery scenarios determine number users adopt  cloudfirst  strategy help boost internal resilience levels   cio  article cios se asia combating coronavirus business continuity ;1;0;1;1;1;0;;trabalho remoto colaboração comunicação produtividade;web;news articles;tier-2;"trabalho remoto;colaboração;comunicação;produtividade";otimista;empresa;privado;5;0;1;0;0;0;0;0;1;1;1;1;https www cio com article cios se asia combating coronavirus business continuity html;;trabalho remoto colaboração comunicação produtividade;empresa;2020-02-09;False;True
6;6;8;5612;grey;2020-02-09;2020;2;Ask Hackaday: What's Your Coronavirus Supply Chain ...;https://hackaday.com/2020/02/10/ask-hackaday-whats-your-coronavirus-supply-chain-exposure/;1;Feb 10, 2020 — The financial news is filled with stories of potential disaster for manufacturers like Apple, who have outstanding orders for 45 million AirPods ...;https;hackaday.com;/2020/02/10/ask-hackaday-whats-your-coronavirus-supply-chain-exposure/;;;hackaday.com;192.0.66.96;geolocation;{};US;United States;California;Santa Monica;-118.4452667236328;33.97785186767578;192.0.66.96;Ask Hackaday: What's Your Coronavirus Supply Chain ...;Feb 10, 2020 — The financial news is filled with stories of potential disaster for manufacturers like Apple, who have outstanding orders for 45 million AirPods ...;;;1;9;6;COVID-shock;2;Ask Hackaday: What's Your Coronavirus Supply Chain ... Feb 10, 2020 — The financial news is filled with stories of potential disaster for manufacturers like Apple, who have outstanding orders for 45 million AirPods ... https hackaday com ask hackaday whats coronavirus supply chain exposure;Ask Hackaday Whats Your Coronavirus Supply Chain  Feb 10 2020 — The financial news is filled with stories of potential disaster for manufacturers like Apple who have outstanding orders for 45 million AirPods  https hackaday com ask hackaday whats coronavirus supply chain exposure;['ask', 'hackaday', 'whats', 'coronavirus', 'supply', 'chain', 'financial', 'news', 'filled', 'stories', 'potential', 'disaster', 'manufacturers', 'like', 'apple', 'outstanding', 'orders', 'million', 'airpods', 'hackaday', 'ask', 'hackaday', 'whats', 'coronavirus', 'supply', 'chain', 'exposure'];ask hackaday what coronavirus suppli chain financi news fill stori potenti disast manufactur like appl outstand order million airpod hackaday ask hackaday what coronavirus suppli chain exposur;ask hackaday whats coronavirus supply chain financial news fill story potential disaster manufacturer like apple outstanding order million airpods hackaday ask hackaday whats coronavirus supply chain exposure;27;227;1.0;7;0;"2020-02-09 00:00:00 ; Ask Hackaday: What's Your Coronavirus Supply Chain ... Feb 10, 2020 — The financial news is filled with stories of potential disaster for manufacturers like Apple, who have outstanding orders for 45 million AirPods ... ; https://hackaday.com/2020/02/10/ask-hackaday-whats-your-coronavirus-supply-chain-exposure/";0.17;0.0;0.0;0.17;0.67;Fear;Sunday;;;;ask hackaday whats  coronavirus supply chain         financial news filled stories potential disaster manufacturers like apple outstanding orders   million airpods  hackaday  ask hackaday whats coronavirus supply chain exposure;1;0;1;1;1;0;;cadeia de suprimentos;web;websites;tier-2;cadeia de suprimentos;pessimista;empresa;privado;2;0;1;0;0;0;0;0;0;0;1;0;https hackaday com ask hackaday whats coronavirus supply chain exposure;;cadeia suprimentos;empresa;2020-02-09;False;True
7;7;9;5707;grey;2020-02-11;2020;2;How might the tech world get impacted by the coronavirus ...;https://www.quora.com/How-might-the-tech-world-get-impacted-by-the-coronavirus-outbreak;1;How do tech giant companies help for the disaster of the corona virus COVID 19? ... and ine of the most crucial skills in software development is communication.;https;www.quora.com;/How-might-the-tech-world-get-impacted-by-the-coronavirus-outbreak;;;quora.com;151.101.1.2;geolocation;{};US;United States;California;San Francisco;-122.39286041259766;37.76784896850586;151.101.1.2;How might the tech world get impacted by the coronavirus ...;How do tech giant companies help for the disaster of the corona virus COVID 19? ... and ine of the most crucial skills in software development is communication.;;;1;11;1;COVID-shock;1;How might the tech world get impacted by the coronavirus ... How do tech giant companies help for the disaster of the corona virus COVID 19? ... and ine of the most crucial skills in software development is communication. https www quora com might tech world get impacted coronavirus outbreak;How might the tech world get impacted by the coronavirus  How do tech giant companies help for the disaster of the corona virus COVID 19  and ine of the most crucial skills in software development is communication https www quora com might tech world get impacted coronavirus outbreak;['might', 'tech', 'world', 'get', 'impacted', 'coronavirus', 'tech', 'giant', 'companies', 'help', 'disaster', 'corona', 'virus', 'covid', 'ine', 'crucial', 'skills', 'software', 'development', 'communication', 'quora', 'might', 'tech', 'world', 'get', 'impacted', 'coronavirus', 'outbreak'];might tech world get impact coronavirus tech giant compani help disast corona virus covid ine crucial skill softwar develop communic quora might tech world get impact coronavirus outbreak;might tech world get impact coronavirus tech giant company help disaster corona virus covid ine crucial skill software development communication quora might tech world get impact coronavirus outbreak;28;213;1.0;14;0;"2020-02-11 00:00:00 ; How might the tech world get impacted by the coronavirus ... How do tech giant companies help for the disaster of the corona virus COVID 19? ... and ine of the most crucial skills in software development is communication. ; https://www.quora.com/How-might-the-tech-world-get-impacted-by-the-coronavirus-outbreak";0.0;0.67;0.17;0.17;0.0;Angry;Tuesday;0.0;;0.0; might tech world get impacted coronavirus  tech giant companies help disaster corona virus covid   ine crucial skills software development communication   quora  might tech world get impacted coronavirus outbreak;1;0;1;1;1;1;postcovid;transformação digital;web;Q/A;tier-2;transformação digital;otimista;empresa;privado;4;1;1;0;0;1;0;0;0;0;1;0;https www quora com might tech world get impacted coronavirus outbreak;postcovid;transformação digital;empresa;2020-02-11;False;True
8;8;10;6115;grey;2020-02-19;2020;2;February 2020 – Cronicle Press;https://cronicle.press/2020/02/;1;COVID's impact can vary,” Wagner said. “The semiconductor industry is playing a crucial role to enable work from home. ... to recruit University of Michigan software development talent to help make the 100-year-old automaker more agile and ...;https;cronicle.press;/2020/02/;;;cronicle.press;23.185.0.1;geolocation;{};US;United States;California;San Francisco;-122.40872955322266;37.79093933105469;23.185.0.1;February 2020 – Cronicle Press;COVID's impact can vary,” Wagner said. “The semiconductor industry is playing a crucial role to enable work from home. ... to recruit University of Michigan software development talent to help make the 100-year-old automaker more agile and ...;;;1;19;2;COVID-shock;1;February 2020 – Cronicle Press COVID's impact can vary,” Wagner said. “The semiconductor industry is playing a crucial role to enable work from home. ... to recruit University of Michigan software development talent to help make the 100-year-old automaker more agile and ... https cronicle press;February 2020 – Cronicle Press COVIDs impact can vary” Wagner said “The semiconductor industry is playing a crucial role to enable work from home  to recruit University of Michigan software development talent to help make the 100yearold automaker more agile and  https cronicle press;['february', 'cronicle', 'press', 'covids', 'impact', 'vary', 'wagner', 'said', 'semiconductor', 'industry', 'playing', 'crucial', 'role', 'enable', 'work', 'home', 'recruit', 'university', 'michigan', 'software', 'development', 'talent', 'help', 'make', 'automaker', 'agile', 'cronicle', 'press'];februari cronicl press covid impact vari wagner said semiconductor industri play crucial role enabl work home recruit univers michigan softwar develop talent help make 100yearold automak agil cronicl press;february cronicle press covids impact vary wagner say semiconductor industry play crucial role enable work home recruit university michigan software development talent help make 100yearold automaker agile cronicle press;28;231;1.0;11;0;"2020-02-19 00:00:00 ; February 2020 – Cronicle Press COVID's impact can vary,” Wagner said. “The semiconductor industry is playing a crucial role to enable work from home. ... to recruit University of Michigan software development talent to help make the 100-year-old automaker more agile and ... ; https://cronicle.press/2020/02/";0.0;0.11;0.22;0.22;0.44;Fear;Wednesday;0.0;;0.0;february     cronicle press covids impact vary  wagner said   semiconductor industry playing crucial role enable work home recruit university michigan software development talent help make 100yearold automaker agile  cronicle press;1;0;1;1;1;0;;transformação digital cibersegurança pme;web;websites;tier-2;"transformação digital;cibersegurança;pme";otimista;empresa;privado;3;1;0;0;0;1;0;0;1;0;0;0;https cronicle press;;transformação digital cibersegurança pme;empresa;2020-02-19;False;True
9;9;11;6509;grey;2020-02-27;2020;2;Enterprise resilience: iOS, Mac tools for remote collaboration ...;https://www.computerworld.com/article/3529990/enterprise-resilience-ios-mac-tools-for-remote-collaboration.html;1;Feb 28, 2020 — Apple, iOS, Mac, MacOS, coronavirus, collaboration, remote working, ... as an issue-tracking tool for software development, but has grown to ...;https;www.computerworld.com;/article/3529990/enterprise-resilience-ios-mac-tools-for-remote-collaboration.html;;;computerworld.com;151.101.2.165;geolocation;{};US;United States;California;San Francisco;-122.39286041259766;37.76784896850586;151.101.2.165;Enterprise resilience: iOS, Mac tools for remote collaboration ...;Feb 28, 2020 — Apple, iOS, Mac, MacOS, coronavirus, collaboration, remote working, ... as an issue-tracking tool for software development, but has grown to ...;;;1;27;3;COVID-shock;1;Enterprise resilience: iOS, Mac tools for remote collaboration ... Feb 28, 2020 — Apple, iOS, Mac, MacOS, coronavirus, collaboration, remote working, ... as an issue-tracking tool for software development, but has grown to ... https www computerworld com article enterprise resilience ios mac tools remote collaboration html;Enterprise resilience iOS Mac tools for remote collaboration  Feb 28 2020 — Apple iOS Mac MacOS coronavirus collaboration remote working  as an issuetracking tool for software development but has grown to  https www computerworld com article enterprise resilience ios mac tools remote collaboration html;['enterprise', 'resilience', 'ios', 'mac', 'tools', 'remote', 'collaboration', 'apple', 'ios', 'mac', 'macos', 'coronavirus', 'collaboration', 'remote', 'working', 'issuetracking', 'tool', 'software', 'development', 'grown', 'computerworld', 'article', 'enterprise', 'resilience', 'ios', 'mac', 'tools', 'remote', 'collaboration'];enterpris resili io mac tool remot collabor appl io mac maco coronavirus collabor remot work issuetrack tool softwar develop grown computerworld articl enterpris resili io mac tool remot collabor;enterprise resilience io mac tool remote collaboration apple io mac macos coronavirus collaboration remote work issuetracking tool software development grow computerworld article enterprise resilience io mac tool remote collaboration;29;253;1.0;7;0;"2020-02-27 00:00:00 ; Enterprise resilience: iOS, Mac tools for remote collaboration ... Feb 28, 2020 — Apple, iOS, Mac, MacOS, coronavirus, collaboration, remote working, ... as an issue-tracking tool for software development, but has grown to ... ; https://www.computerworld.com/article/3529990/enterprise-resilience-ios-mac-tools-for-remote-collaboration.html";0.0;0.0;0.0;0.0;1.0;Fear;Thursday;0.0;;0.0;enterprise resilience ios mac tools remote collaboration        apple ios mac macos coronavirus collaboration remote working issuetracking tool software development grown   computerworld  article enterprise resilience ios mac tools remote collaboration ;1;0;1;1;1;0;;trabalho remoto colaboração;web;news articles;tier-2;"trabalho remoto;colaboração";otimista;empresa;privado;5;0;1;0;0;1;0;0;1;1;0;1;https www computerworld com article enterprise resilience ios mac tools remote collaboration html;;trabalho remoto colaboração;empresa;2020-02-27;False;True
