"type_study";"document_title";"author_keywords";"index_keywords";"abstract";"pdf_link";"base";"authors";"publication_title";"endereco";"status1-selecao";"status2-duplicated";"status3-title-abst_keys";"status4-read";"rq1";"rq2";"rq2.1_fase_citada";"rq3";"all_tags";"conotação";"tipo_porte";"setor";"observação";"publication_year";"document_identifier";"online_date"
"white";"Optimal planning framework of three phase unbalanced distribution system using multiple DG and DSTACOM under different loading condition";"Electrical distribution system;Distributed Generation;DSTATCOM;voltage unbalance;power loss reduction;IPSO-SR";"COVID-19;Reactive power;Pandemics;System performance;Software;Planning;Optimization";"In recent times nations across the world are facing an unprecedented crisis due to coronavirus (Covid-19) outbreak, which has adversely affected health care system, economy and the societies across the globe. Resilient power utility system is the need of the hour to revive the economy. Distribution systems across many parts of the globe have the problem of high system loss, high voltage unbalance and poor maintenance of system voltage profile. In this paper the major aim in allocating Distributed Generation (DG) and DSTATCOM is to reduce line loss, decrease voltage unbalance and to maintain the voltage profile in the practical unbalanced distribution system. Improvement of these system performance parameters will in turn enhance the system resilience. Improved Particle Swarm Optimization based on success rate (IPSO-SR) is chosen as the optimization algorithm to solve the planning problem. Security constraints of voltage profile, power factor and power flow were considered in the problem. To validate the proposed methodology IEEE 37 bus feeder which is a real 4.8 KV feeder of California is chosen. The system performance is analyzed for residential load demand as per its growing demand in current pandemic situation. Open Distribution system simulator software (Open DSS) is used for three phase unbalanced power flow analysis of the network. Result of the work validates the effectiveness of this approach.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9376508";"ieee explore";"R. Bonela; S. R. Ghatak; N. Hayat; S. C. Swain; A. Mohapatra";"2020 IEEE 7th Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-16"
"white";"Digital Tools for virtual courses for university teachers affected by COVID-19";"Digital Tools;COVID-19;educational technologies";"COVID-19;Pandemics;Education;Tools;Software;Viruses (medical);Faces";"Due to the 2020 scenario, the pandemic caused by the COVID-19 virus prompted a substantial change in the methods used by teachers when teaching and implementing their classes. As a support mechanism for teachers in the face of the radical change from physical presence to virtual presence, two courses were designed by the School of Pedagogy of the Universidad Panamericana: the first on Instructional Design and the second on didactic tools that enhance interaction and revitalization of classes. The summer of 2020 was the ideal time to train and prepare teachers in the instructional design of online classes because, although the educational model of the university is face-to-face, the circumstances and health limitations forced a strategic change to carry on with the quality that characterizes the institution. The preliminary results that we analyze with the SPSS software indicate that for 90.5% of the teachers the content of the course contributed to their professional development and that 87.2% have sufficient elements to redesign their subject for the following semester, which is executed in virtual mode.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9375698";"ieee explore";"A. S. de la Serna-Tuya; D. Salgado-Gutiérrez; J. Ochoa-García; A. F. Mora-López; L. García-Bejar";"2020 X International Conference on Virtual Campus (JICV)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-16"
"white";"Instructional Design for virtual courses for university teachers affected by COVID-19";"Instructional design;COVID-19;educational technologies";"COVID-19;Pandemics;Education;Tools;Software;Viruses (medical);Faces";"Due to the 2020 scenario, the pandemic caused by the COVID-19 virus prompted a substantial change in the methods used by teachers when teaching and implementing their classes. As a support mechanism for teachers in the face of the radical change from physical presence to virtual presence, two courses were designed by the School of Pedagogy of the Universidad Panamericana: the first on Instructional Design and the second on didactic tools that enhance interaction and revitalization of classes. The summer of 2020 was the ideal time to train and prepare teachers in the instructional design of online classes because, although the educational model of the university is face-to-face, the circumstances and health limitations forced a strategic change to carry on with the quality that characterizes the institution. The preliminary results that we analyze with the SPSS software indicate that for 89.4% of the teachers the content of the course contributed to their professional development and that 87.9% have sufficient elements to redesign their subject for the following semester, which is executed in virtual mode.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9375676";"ieee explore";"D. Salgado-Gutiérrez; A. S. de la Serna-Tuya; A. F. Mora-López; J. Ochoa-García; L. García-Bejar";"2020 X International Conference on Virtual Campus (JICV)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-16"
"white";"Leading the educational response during the COVID-19 pandemic: The perspective from an online campus";"Remote Teaching;Academic Continuity;Faculty Training;COVID-19 teaching;Online Teaching;Online Learning;Student Support;Planning";"COVID-19;Training;Pandemics;Organizations;Planning;Springs;Strain";"The early spring of 2020 began with an extraordinary change for all members of the higher education community of institutions worldwide. A new severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the strain of coronavirus that causes coronavirus disease 2019 (COVID-19) has been spreading rapidly (World Health Organization, 2020). In the early days of March 2020, institutions of higher education worldwide began a sudden closure of face-to-face instruction to transition to remote teaching. This transition occurred in a matter of days, disrupting educational and administrative operations. The rapid spread pandemic caught many at colleges and universities by surprise and triggered the implementation of strategies to provide continuity of instruction (Morales, 2019). From faculty training to course creation and from student support to the creation of on-the-fly work from home policies (WFH). The abrupt change also brought to the surface the relevance of training, support systems, and academic continuity planning at an institution serving more than 100,000 students annually. The paper examined the role an online campus, part of a college system that operates predominantly face-to-face, played in the transition of faculty to remote educational and operational services during the COVID-19 Pandemic.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9375733";"ieee explore";"C. R. Morales";"2020 X International Conference on Virtual Campus (JICV)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-16"
"white";"COVID-19 Topic Modeling and Visualization";"topic modeling;information visualization;Latent Dirichlet Allocation (LDA);Tweets;COVID-19";"COVID-19;Pandemics;Social networking (online);Organizations;Resource management;Public healthcare;Viruses (medical)";"The World Health Organization announced the novel coronavirus (COVID-19) outbreak as a global pandemic on March 11, 2020. To date, this virus has infected over 13 million people worldwide, causing a significant impact on human societies. More than 570,000 people have lost their lives. This study tries to understand the concern and experiences of the general public in this pandemic via social media data analysis. Twitter is a very popular social media platform where people share their ideas and express their views in a timely manner. It is also one of the most comprehensive sources of public conversation. In this work, we collected COVID-19 related Tweets during this pandemic, analyzed the volume, location, frequent words, main topics and people’s emotion. We further visualized the evolution of the main topics along with the development of this pandemic. The analysis and visualization can help us to construct a picture of people’s concerns and to understand their behaviors. It would also be helpful to the public health systems to devise proper policies to better guide and support the pubic.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373275";"ieee explore";"G. Tao; Y. Miao; S. Ng";"2020 24th International Conference Information Visualisation (IV)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-11"
"white";"A Comprehensive Review of the COVID-19 Pandemic and the Role of IoT, Drones, AI, Blockchain, and 5G in Managing its Impact";"Coronavirus;COVID-19;pandemic;transmission stages;global economic impact;UAVs for disaster management;Blockchain;IoMT applications;IoT;AI;5G";"COVID-19;Viruses (medical);Pandemics;Artificial intelligence;Blockchain;5G mobile communication";"The unprecedented outbreak of the 2019 novel coronavirus, termed as COVID-19 by the World Health Organization (WHO), has placed numerous governments around the world in a precarious position. The impact of the COVID-19 outbreak, earlier witnessed by the citizens of China alone, has now become a matter of grave concern for virtually every country in the world. The scarcity of resources to endure the COVID-19 outbreak combined with the fear of overburdened healthcare systems has forced a majority of these countries into a state of partial or complete lockdown. The number of laboratory-confirmed coronavirus cases has been increasing at an alarming rate throughout the world, with reportedly more than 3 million confirmed cases as of 30 April 2020. Adding to these woes, numerous false reports, misinformation, and unsolicited fears in regards to coronavirus, are being circulated regularly since the outbreak of the COVID-19. In response to such acts, we draw on various reliable sources to present a detailed review of all the major aspects associated with the COVID-19 pandemic. In addition to the direct health implications associated with the outbreak of COVID-19, this study highlights its impact on the global economy. In drawing things to a close, we explore the use of technologies such as the Internet of Things (IoT), Unmanned Aerial Vehicles (UAVs), blockchain, Artificial Intelligence (AI), and 5G, among others, to help mitigate the impact of COVID-19 outbreak.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086010";"ieee explore";"V. Chamola; V. Hassija; V. Gupta; M. Guizani";"IEEE Access";"Vidya Vihar, Pilani, Rajasthan 333031, Índia";1;0;1;1;1;0;"NA";"internet das coisas (IoT);veículos aéreos não tripulados (UAVs);blockchain;inteligência artificial (IA);conectividade;5G;financeiro";"internet das coisas (IoT);veículos aéreos não tripulados (UAVs);blockchain;inteligência artificial (IA);conectividade;5G;financeiro";"mista";"empresa";"privado";"ver linha do tempo; ver 4 estágios da epdemiologia";2020;"IEEE Journals";"2020-05-04"
"white";"Introducing Raspberry Pi and Its Peripherals to a Mechatronics Course Under COVID-19 Disruption";"Raspberry Pi ecology;new normal instructional design;engineering education in Thailand";"COVID-19;Mechatronics;Pandemics;Education;Tools;Hybrid learning;Mechanical engineering";"A more capable Raspberry Pi ecology replaced the Arduino kits in an elective mechatronics course for mechanical engineering students. The paper proposed an instructional design that allowed mechatronics projects to advanced into cyber-physical systems. The in-class lectures were provided at minimal; students were encouraged to learn from the user community. The experiential learning was provided by exercises using kits with compatible peripheral devices as well as student-initiated projects. Written exams were used to assess the theory while the exercises and projects confirmed the same contents experientially. The proposed instruction design mitigated the impact of the COVID-19 pandemic during the second half of the course. A remotely-operated rig was developed with Raspberry Pi for the hands-on exercises. The projects were completed at home. The written exam was conducted online with a newly developed exam room feature in the Courseville LMS with open-ended questions that were designed to test the basic competency and advanced understanding. The resilience of the proposed instructional design overcame challenges from the pandemic with the newly developed tools on the Raspberry Pi platform; students were able to master knowledge, and skills satisfactorily.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368356";"ieee explore";"R. Chancharoen; K. Maneeratana";"2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-08"
"white";"Crisis Resilience Pedagogy (CRP) for Teaching and Learning";"COVID-19;crises;Crisis Resilience Pedagogy;education system;innovation;pedagogy;resilience;teaching and learning";"COVID-19;Technological innovation;Conferences;Education;Faces;Resilience";"Schools and universities face unprecedented challenges in times of crisis. Traditional teaching and learning approaches become inadequate in knowledge transmission when face-to-face teaching is unavailable. In this paper, we explore the use of resilience pedagogy in times of crisis. First, we propose Crisis Resilience Pedagogy (CRP) by analyzing key attributes of resilience and how they can be incorporated into education. Second, we discuss how CRP can be widely adopted with reference to the diffusion theory of innovation. Third, we explore how CRP can be applied and incorporated as part of the education system. CRP brings flexibility to the current education system and ensures students learn effectively in times of crisis.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368496";"ieee explore";"R. S. Chow; C. M. Lam; I. King";"2020 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-08"
"white";"The impact of the COVID-19 pandemic on firms: a survey in Guangdong Province, China";;;"The COVID-19 pandemic has affected all sectors of the world economy and society. To understand the impact of the pandemic on firms in China and suggest public policies to deal with the negative effects, we investigated firms in Guangdong Province.

Methods
The survey sample included 524 firms in 15 cities in Guangdong Province. We chose these firms from the list published by the government, considering the industrial characteristics of Guangdong province and firm size. The questionnaire was developed based on previous studies carried out by UNDP. It comprised four categories with a total of 17 questions. The executives of firms were contacted by telephone or WeChat, and were invited to answer self-administered questionnaires through an online survey platform. The data was analyzed by SPSS.

Results
The following key findings were revealed through the survey: (1) 48.7% of firms maintained stability, and 35.1% experienced a halt in operation or faced closure; (2) Nearly 70–90% already exploit online commerce or are willing to do so, and also remote office work, and digital operations. (3) 46% believe that they will certainly incur losses for 2020, and 83.5% expect the city’s GDP to decrease.

Conclusions
Firms in Guangdong Province have faced great challenges in the epidemic. Their production and operation activities have been limited, and they are facing significant risks. It is necessary to implement policies that would profoundly lower production costs for firms, help them survive this difficult period, and gradually return to normal business.";"http://link.springer.com/article/10.1186/s41256-020-00166-z";"springer";"Peng ZouDi HuoMeng Li";"Global Health Research and Policy";"92 Xidazhi St, Nangang, Harbin, Heilongjiang, China";1;0;1;1;1;0;"NA";"produtividade;e-commerce;trabalho remoto;transformação digital;financeiro;inovação;colaboração;financiamento";"produtividade;e-commerce;trabalho remoto;transformação digital;financeiro;inovação;colaboração;financiamento";"mista";"NA";"misto";;2020;"Article";"2020-09-02"
"white";"Design and Implementation of a Health Status Reporting System Based on Spring Boot";"Spring Boot;JPA;Redis;Nginx;vue";"COVID-19;Epidemics;Protocols;Libraries;Servers;Springs;Testing";"The ""IamOK"" online health status reporting system is developed to meet the needs of colleges and universities to grasp the health status of teachers and students during the Covid-19 epidemic prevention and control period. The development and design framework of the system is elaborated by requirements analysis and overall structure design, followed by the introduction of the development method of using JPA, Redis caching technology, Nginx and other key technologies under the Spring Boot framework.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9361238";"ieee explore";"Z. Wang; F. Tang; Z. L. Yu";"2020 International Conference on Artificial Intelligence and Computer Engineering (ICAICE)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-03-01"
